Timestamp,hash-rate
2018-05-16 00:00:00,30097660.327110272
2018-05-17 00:00:00,30795200.338413656
2018-05-18 00:00:00,30281017.494988628
2018-05-19 00:00:00,30898997.443865955
2018-05-20 00:00:00,30575293.661120683
2018-05-21 00:00:00,30457583.19466785
2018-05-22 00:00:00,31193273.60999799
2018-05-23 00:00:00,31340411.693064023
2018-05-24 00:00:00,30840142.210639525
2018-05-25 00:00:00,31329446.291745722
2018-05-26 00:00:00,32357235.308744323
2018-05-27 00:00:00,32780259.376856066
2018-05-28 00:00:00,33558730.93241524
2018-05-29 00:00:00,33709958.18674124
2018-05-30 00:00:00,33517794.90956577
2018-05-31 00:00:00,34072425.97266411
2018-06-01 00:00:00,34898238.81042168
2018-06-02 00:00:00,34592382.20384479
2018-06-03 00:00:00,34286525.59726791
2018-06-04 00:00:00,34255939.93661022
2018-06-05 00:00:00,35081752.774367794
2018-06-06 00:00:00,36970440.243441135
2018-06-07 00:00:00,36806214.501416706
2018-06-08 00:00:00,36623986.38944035
2018-06-09 00:00:00,36634273.42638608
2018-06-10 00:00:00,37002587.20624811
2018-06-11 00:00:00,36473078.66854487
2018-06-12 00:00:00,35787978.20858156
2018-06-13 00:00:00,34735390.614211515
2018-06-14 00:00:00,34595045.60162885
2018-06-15 00:00:00,34945908.13308551
2018-06-16 00:00:00,35226598.15825085
2018-06-17 00:00:00,36033581.980601214
2018-06-18 00:00:00,37086169.57497126
2018-06-19 00:00:00,37928239.6504673
2018-06-20 00:00:00,38429675.25013727
2018-06-21 00:00:00,39001283.35609857
2018-06-22 00:00:00,39762894.31503467
2018-06-23 00:00:00,39839409.12035757
2018-06-24 00:00:00,39784321.86544567
2018-06-25 00:00:00,40441645.50409453
2018-06-26 00:00:00,40348557.67858766
2018-06-27 00:00:00,40024038.44792878
2018-06-28 00:00:00,38798076.90988411
2018-06-29 00:00:00,38329326.9100435
2018-06-30 00:00:00,38329326.91004349
2018-07-01 00:00:00,37644230.75643029
2018-07-02 00:00:00,36778846.141339935
2018-07-03 00:00:00,36488476.48756963
2018-07-04 00:00:00,35642491.79716744
2018-07-05 00:00:00,36383569.163505815
2018-07-06 00:00:00,35940839.56543446
2018-07-07 00:00:00,36590525.80086679
2018-07-08 00:00:00,37448429.01495238
2018-07-09 00:00:00,38166166.0474159
2018-07-10 00:00:00,37975716.11703957
2018-07-11 00:00:00,39232685.65752333
2018-07-12 00:00:00,39270775.6435986
2018-07-13 00:00:00,39423135.58789966
2018-07-14 00:00:00,38775605.82462014
2018-07-15 00:00:00,37899536.14488904
2018-07-16 00:00:00,36947286.493007414
2018-07-17 00:00:00,36337846.71580317
2018-07-18 00:00:00,36509848.5750901
2018-07-19 00:00:00,37766752.67193089
2018-07-20 00:00:00,38684788.36582006
2018-07-21 00:00:00,38901449.330725215
2018-07-22 00:00:00,38873815.39954952
2018-07-23 00:00:00,40501108.76587423
2018-07-24 00:00:00,42035153.35651059
2018-07-25 00:00:00,42035153.35651059
2018-07-26 00:00:00,42145481.84301062
2018-07-27 00:00:00,41924824.87001056
2018-07-28 00:00:00,42402914.97817733
2018-07-29 00:00:00,42697124.27551074
2018-07-30 00:00:00,43186317.48986678
2018-07-31 00:00:00,42742938.885755055
2018-08-01 00:00:00,43106239.95488643
2018-08-02 00:00:00,42934319.306112185
2018-08-03 00:00:00,43330461.80443259
2018-08-04 00:00:00,44202298.51649605
2018-08-05 00:00:00,46305708.13320943
2018-08-06 00:00:00,45883210.79622875
2018-08-07 00:00:00,45756461.59513513
2018-08-08 00:00:00,45925460.52992893
2018-08-09 00:00:00,46221208.66581731
2018-08-10 00:00:00,46052209.73102564
2018-08-11 00:00:00,46474707.068008736
2018-08-12 00:00:00,46521092.49404173
2018-08-13 00:00:00,46794031.25653446
2018-08-14 00:00:00,48065344.67839718
2018-08-15 00:00:00,47856434.096239045
2018-08-16 00:00:00,48528363.20127939
2018-08-17 00:00:00,49402169.60517871
2018-08-18 00:00:00,48862992.05777387
2018-08-19 00:00:00,48640417.27294008
2018-08-20 00:00:00,48186682.03718503
2018-08-21 00:00:00,48186682.03718503
2018-08-22 00:00:00,48731164.320091076
2018-08-23 00:00:00,48685790.79651556
2018-08-24 00:00:00,48277429.08433602
2018-08-25 00:00:00,48125170.27810239
2018-08-26 00:00:00,47314784.49380718
2018-08-27 00:00:00,49000382.03378041
2018-08-28 00:00:00,51032389.99923481
2018-08-29 00:00:00,51626403.56288368
2018-08-30 00:00:00,51007110.45970804
2018-08-31 00:00:00,51603523.67006131
2018-09-01 00:00:00,52263848.28620159
2018-09-02 00:00:00,53028219.01067986
2018-09-03 00:00:00,51642797.07256301
2018-09-04 00:00:00,49684097.09108745
2018-09-05 00:00:00,48394221.49353038
2018-09-06 00:00:00,48059809.30157113
2018-09-07 00:00:00,47868716.62045156
2018-09-08 00:00:00,47988724.250989795
2018-09-09 00:00:00,48251967.38942393
2018-09-10 00:00:00,49497628.680211134
2018-09-11 00:00:00,49347584.82553475
2018-09-12 00:00:00,50356537.70992434
2018-09-13 00:00:00,52424710.105760165
2018-09-14 00:00:00,52636033.18979825
2018-09-15 00:00:00,51690936.994490884
2018-09-16 00:00:00,51192470.87111104
2018-09-17 00:00:00,49996152.1749994
2018-09-18 00:00:00,49996152.17499939
2018-09-19 00:00:00,50045998.78733737
2018-09-20 00:00:00,49447839.439281546
2018-09-21 00:00:00,49760185.20554792
2018-09-22 00:00:00,50494795.78805649
2018-09-23 00:00:00,51389369.565766394
2018-09-24 00:00:00,52079819.004039176
